type_,address,area,price,metro_station,metro_line,date,update_date,floor,full_floor
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37,8263789,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:26",8,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37,8325918,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:38",14,15
3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",49,10329672,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:26",8,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",39,8598065,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:26",15,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",39,8540894,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:26",11,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",53,10133058,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:19",2,11
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",56,10623717,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:19",15,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",53,10133058,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:19",2,11
1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",5,6705306,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:18",8,15
2-комн.кв.,", 1",35,5545104,Станция не указана,Ветка не указана,Размещено 5 марта,"сегодня, 00:19",12,17
3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",5,10600042,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:22",2,15
3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",54,11314549,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:12",8,11
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",56,10203088,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:14",2,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",39,8504382,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:10",11,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",56,10428098,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:12",8,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37,8079216,Бунинская аллея м.,cyan,Размещено 5 марта,30 марта,4,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37,8282412,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:14",11,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",56,10327111,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:14",4,15
